|ACCOCI|ASSETS|ASSETSC|ASSETSNC|BVPS|CAPEX|CASHNEQ|CASHNEQUSD|COR|CURRENTRATIO|DE|DEBT|DEBTUSD|DEPAMOR|DILUTIONRATIO|DPS|Date|EBIT|EBITDA|EBITDAUSD|EBITUSD|EBT|EPS|EPSDIL|EPSUSD|EQUITY|EQUITYUSD|FCF|FCFPS|GP|INTANGIBLES|INTEXP|INVCAP|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|NCF|NCFCOMMON|NCFDEBT|NCFDIV|NCFF|NCFI|NCFO|NCFX|NETINC|NETINCCMN|NETINCCMNUSD|NETINCDIS|PAYABLES|PREFDIVIS|RECEIVABLES|RETEARN|REVENUE|REVENUEUSD|RND|SGNA|SHARESWA|SHARESWADIL|SYMBOL|TANGIBLES|TAXEXP|TBVPS|WORKINGCAPITAL
3|0.0|316049000.0|86524000.0|229525000.0|6.55652661|-51525000.0|18750000.0|18750000.0|0.0|2.51984739|1.26760275|145141000.0|145141000.0|7837000.0|1.00260226|0.0|2015-12-31|19561000.0|27398000.0|27398000.0|19561000.0|15954000.0|0.49|0.48|0.49|141654000.0|141654000.0|-45332000.0|-2.09821441|212261000.0|118192000.0|3607000.0|289911000.0|0.0|179561000.0|34337000.0|145224000.0|-29790000.0|0.0|115948000.0|0.0|107419000.0|-143402000.0|6193000.0|0.0|11174000.0|10493000.0|10493000.0|0.0|7878000.0|681000.0|60934000.0|19708000.0|212261000.0|212261000.0|0.0|122543000.0|21605037.0|21661259.0|AAC|197857000.0|4780000.0|9.15791072|52187000.0
0|-2724000000.0|25438000000.0|6642000000.0|18796000000.0|-10.49462895|-1445000000.0|613000000.0|613000000.0|10031000000.0|0.85947205|-8.290914299999999|11697000000.0|11697000000.0|1104000000.0||0.0|2009-12-31|-1008000000.0|96000000.0|96000000.0|-1008000000.0|-1752000000.0|-4.99|-4.99|-4.99|-3489000000.0|-3489000000.0|-515000000.0|-1.54907822|9886000000.0|0.0|744000000.0|28794000000.0|557000000.0|28927000000.0|7728000000.0|21199000000.0|-38000000.0|413000000.0|574000000.0|0.0|1755000000.0|-2723000000.0|930000000.0|0.0|-1468000000.0|-1468000000.0|-1468000000.0|0.0|1064000000.0|0.0|768000000.0|-5136000000.0|19917000000.0|19917000000.0|0.0|6807000000.0|332455775.0||AAL|25438000000.0|-284000000.0|76.51544029|-1086000000.0
1|-2755000000.0|25088000000.0|6838000000.0|18250000000.0|-11.83667296|-1958000000.0|618000000.0|618000000.0|11193000000.0|0.77881549|-7.35944233|11136000000.0|11136000000.0|1093000000.0||0.0|2010-12-31|317000000.0|1410000000.0|1410000000.0|317000000.0|-506000000.0|-1.41|-1.41|-1.41|-3945000000.0|-3945000000.0|-717000000.0|-2.15130406|10977000000.0|0.0|823000000.0|26826000000.0|594000000.0|29033000000.0|8780000000.0|20253000000.0|15000000.0|1000000.0|-612000000.0|0.0|804000000.0|-2030000000.0|1241000000.0|0.0|-471000000.0|-471000000.0|-471000000.0|0.0|1156000000.0|0.0|738000000.0|-5607000000.0|22170000000.0|22170000000.0|0.0|6847000000.0|333286221.0||AAL|25088000000.0|-35000000.0|75.27463909|-1942000000.0
2|-3964000000.0|23848000000.0|6757000000.0|17091000000.0|-21.21249032|-1614000000.0|1021000000.0|1021000000.0|13245000000.0|0.7829664000000001|-4.3536774000000005|8220000000.0|8220000000.0|1086000000.0||0.0|2011-12-31|-1168000000.0|-82000000.0|-82000000.0|-1168000000.0|-1979000000.0|-15.83|-15.83|-15.83|-7111000000.0|-7111000000.0|-871000000.0|-2.59823922|10734000000.0|0.0|811000000.0|22417000000.0|617000000.0|30959000000.0|8630000000.0|22329000000.0|115000000.0|0.0|24000000.0|0.0|664000000.0|-1292000000.0|743000000.0|0.0|-1979000000.0|-1979000000.0|-1979000000.0|0.0|1007000000.0|0.0|902000000.0|-7586000000.0|23979000000.0|23979000000.0|0.0|7463000000.0|335227024.0||AAL|23848000000.0|0.0|71.13984939|-1873000000.0
3|-2980000000.0|23510000000.0|7072000000.0|16438000000.0|-23.82248012|-1765000000.0|1330000000.0|1330000000.0|13527000000.0|0.78481856|-3.94353324|8535000000.0|8535000000.0|1015000000.0||0.0|2012-12-31|-1813000000.0|-798000000.0|-798000000.0|-1813000000.0|-2445000000.0|-7.52|-7.52|-7.52|-7987000000.0|-7987000000.0|-480000000.0|-1.43167528|11328000000.0|0.0|632000000.0|21704000000.0|580000000.0|31497000000.0|9011000000.0|22486000000.0|197000000.0|0.0|-1020000000.0|0.0|483000000.0|-1571000000.0|1285000000.0|0.0|-1876000000.0|-1876000000.0|-1876000000.0|0.0|975000000.0|0.0|1124000000.0|-9462000000.0|24855000000.0|24855000000.0|0.0|7275000000.0|335271557.0||AAL|23510000000.0|-569000000.0|70.12226212|-1939000000.0
4|-2032000000.0|42278000000.0|14323000000.0|27955000000.0|-8.13770921|-2986000000.0|2175000000.0|2175000000.0|14345000000.0|1.03744749|-16.48077627|16799000000.0|16799000000.0|1020000000.0||0.0|2013-12-31|-1324000000.0|-304000000.0|-304000000.0|-1324000000.0|-2180000000.0|-6.54|-6.54|-6.54|-2731000000.0|-2731000000.0|-2311000000.0|-6.88621237|12398000000.0|6397000000.0|856000000.0|36699000000.0|1012000000.0|45009000000.0|13806000000.0|31203000000.0|660000000.0|0.0|2208000000.0|0.0|3799000000.0|-3814000000.0|675000000.0|0.0|-1834000000.0|-1834000000.0|-1834000000.0|0.0|1368000000.0|0.0|1560000000.0|-11296000000.0|26743000000.0|26743000000.0|0.0|6618000000.0|335598131.0||AAL|35881000000.0|-346000000.0|106.91656683|517000000.0
5|-4559000000.0|43225000000.0|11750000000.0|31475000000.0|2.81765324|-5278000000.0|1768000000.0|1768000000.0|22136000000.0|0.876604|20.38792677|17720000000.0|17720000000.0|1513000000.0||0.2|2014-12-31|4099000000.0|5612000000.0|5612000000.0|4099000000.0|3212000000.0|4.02|3.93|4.02|2021000000.0|2021000000.0|-2198000000.0|-3.06442445|20514000000.0|6331000000.0|887000000.0|39442000000.0|1004000000.0|41204000000.0|13404000000.0|27800000000.0|-146000000.0|-1052000000.0|170000000.0|-144000000.0|-315000000.0|-2911000000.0|3080000000.0|0.0|2882000000.0|2882000000.0|2882000000.0|0.0|1377000000.0|0.0|1771000000.0|-8562000000.0|42650000000.0|42650000000.0|0.0|10052000000.0|717263563.0||AAL|36894000000.0|330000000.0|51.43715909|-1654000000.0
6|-4732000000.0|48415000000.0|9985000000.0|38430000000.0|8.93982498|-6116000000.0|1085000000.0|1085000000.0|17079000000.0|0.73392135|7.59183673|20561000000.0|20561000000.0|1609000000.0||0.4|2015-12-31|5496000000.0|7105000000.0|7105000000.0|5496000000.0|4616000000.0|11.39|11.07|11.39|5635000000.0|5635000000.0|133000000.0|0.21100208|23911000000.0|6340000000.0|880000000.0|47946000000.0|863000000.0|42780000000.0|13605000000.0|29175000000.0|-604000000.0|-3846000000.0|2856000000.0|-278000000.0|-1259000000.0|-5594000000.0|6249000000.0|0.0|7610000000.0|7610000000.0|7610000000.0|0.0|1563000000.0|0.0|1425000000.0|-1230000000.0|40990000000.0|40990000000.0|0.0|10918000000.0|630325539.0||AAL|42075000000.0|-2994000000.0|66.75122202|-3620000000.0
0|-101000.0|1321456000.0|||10.90628036|-45607000.0|109685000.0|109685000.0|325457000.0||0.48936727|55044000.0|55044000.0|519371000.0||0.05|2009-12-31|180461000.0|699832000.0|699832000.0|180461000.0|176162000.0|1.39|1.37|1.39|887260000.0|887260000.0|148087000.0|1.82029883|1427330000.0|199576000.0|4299000.0|1067239000.0|0.0|434196000.0|||102309000.0|8172000.0|-59773000.0|-4649000.0|-52341000.0|-38767000.0|193694000.0|0.0|112601000.0|112601000.0|112601000.0|277000.0|177284000.0|0.0|66095000.0|694689000.0|1752787000.0|1752787000.0|0.0|771634000.0|81353126.0||AAN|1121880000.0|63561000.0|13.79025067|
1|846000.0|1502072000.0|||12.08220792|-34237000.0|72022000.0|72022000.0|353931000.0||0.53363889|41790000.0|41790000.0|549532000.0||0.05|2010-12-31|193882000.0|743414000.0|743414000.0|193882000.0|190786000.0|1.46|1.44|1.46|979417000.0|979417000.0|15024000.0|0.1853379|1522407000.0|206211000.0|3096000.0|1265629000.0|0.0|522655000.0|||-37663000.0|-26959000.0|-13254000.0|-2929000.0|-42821000.0|-44103000.0|49261000.0|0.0|118376000.0|118376000.0|118376000.0|0.0|211462000.0|0.0|69662000.0|809084000.0|1876338000.0|1876338000.0|0.0|824929000.0|81062750.0||AAN|1295861000.0|72410000.0|15.98589981|
