Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|1027104000.0|1027104000.0|491294000.0|535810000.0|0.0|162604000.0|299870000.0|299870000.0|35265000.0|264605000.0|137991000.0|126614000.0|0.0|126614000.0|126614000.0|0.0|0.72|0.72|0.7|174767795.0|182165661.0|0.0|326401000.0|71199000.0|-185340000.0|-38694000.0|-102809000.0|-83754000.0|-39031000.0|0.0|90000.0|38342000.0|996953000.0|225345000.0|771608000.0|71527000.0|71527000.0|89436000.0|599355000.0|0.0|1031902000.0|300279000.0|731623000.0|594169000.0|594169000.0|101401000.0|-34949000.0|-34949000.0|51275000.0|-53628000.0|-0.19997391|0.75045208|-29.5259378|1.04232969|371069000.0|371069000.0|287707000.0|1.64622435|619961000.0|397598000.0|2.27500725|-74934000.0
2010-12-31|1138343000.0|1138343000.0|463473000.0|674870000.0|0.0|166374000.0|441314000.0|441314000.0|34664000.0|406650000.0|164098000.0|242552000.0|0.0|242552000.0|242552000.0|0.0|1.36|1.36|1.3|177733503.0|186394962.0|0.0|336032000.0|68126000.0|-243689000.0|-38641000.0|-108787000.0|248219000.0|-384579000.0|0.0|-109000.0|-16553000.0|1217090000.0|240435000.0|976655000.0|54974000.0|54974000.0|126564000.0|832897000.0|0.0|1331532000.0|720882000.0|610650000.0|839543000.0|839543000.0|111995000.0|-114442000.0|-114442000.0|293827000.0|-55803000.0|-0.64389661|0.33352893|-11.63499415|1.04873284|509440000.0|509440000.0|297391000.0|1.67324109|447880000.0|384193000.0|2.16162397|-480447000.0
2011-12-31|1191393000.0|1191393000.0|440979000.0|750414000.0|0.0|199495000.0|502344000.0|502344000.0|53847000.0|448497000.0|165739000.0|282758000.0|0.0|282758000.0|282758000.0|0.0|1.7|1.7|1.63|166015238.0|173325110.0|0.0|375721000.0|78619000.0|-204129000.0|-59829000.0|-34780000.0|253724000.0|-338431000.0|0.0|-183000.0|136629000.0|1541106000.0|453654000.0|1087452000.0|191603000.0|191603000.0|153339000.0|936368000.0|0.0|1639596000.0|349650000.0|1289946000.0|1105886000.0|1105886000.0|162992000.0|-98490000.0|-98490000.0|576585000.0|-78287000.0|-0.59325879|1.29745174|-16.64733475|1.04403133|580963000.0|580963000.0|315892000.0|1.90278919|1169371000.0|604738000.0|3.64266562|104004000.0
2012-12-31|1407848000.0|1407848000.0|516708000.0|891140000.0|0.0|220068000.0|584013000.0|584013000.0|72508000.0|511505000.0|182363000.0|329142000.0|0.0|329142000.0|329142000.0|0.0|1.98|1.98|1.92|165890258.0|171709518.0|0.0|468229000.0|104199000.0|-883583000.0|-74373000.0|313555000.0|353319000.0|-93887000.0|0.0|15000.0|-101784000.0|2360336000.0|390559000.0|1969777000.0|89819000.0|89819000.0|178430000.0|1768394000.0|0.0|2104745000.0|585350000.0|1519395000.0|1461425000.0|1461425000.0|187648000.0|255591000.0|255591000.0|905727000.0|-89160000.0|1.54072339|0.66722303|8.23481656|1.03507897|688212000.0|688212000.0|393856000.0|2.37419608|1378198000.0|591942000.0|3.56827464|-194791000.0
2013-12-31|1595703000.0|1595703000.0|622523000.0|973180000.0|0.0|228982000.0|620942000.0|620942000.0|76136000.0|544806000.0|196426000.0|348380000.0|0.0|348380000.0|348380000.0|-6066000.0|2.07|2.07|2.02|168031412.0|172276360.0|0.0|506920000.0|134578000.0|-145626000.0|-145976000.0|-284472000.0|-190605000.0|-197043000.0|0.0|-840000.0|75982000.0|2504451000.0|474845000.0|2029606000.0|165801000.0|165801000.0|158547000.0|1629299000.0|0.0|1956862000.0|431179000.0|1525683000.0|1275887000.0|1275887000.0|188264000.0|547589000.0|547589000.0|1254107000.0|-43488000.0|3.25884901|1.10127117|3.57359626|1.02526282|755520000.0|755520000.0|360944000.0|2.14807455|1554059000.0|875152000.0|5.20826427|43666000.0
2014-12-31|1746726000.0|1746726000.0|716598000.0|1030128000.0|0.0|227306000.0|689781000.0|689781000.0|69984000.0|619797000.0|219755000.0|400042000.0|0.0|400042000.0|400042000.0|-29177000.0|2.41|2.41|2.37|165823803.0|169132423.0|0.0|489452000.0|143483000.0|-35530000.0|-146818000.0|-579078000.0|159535000.0|-753836000.0|0.0|-1286000.0|-126442000.0|2345330000.0|384483000.0|1960847000.0|39359000.0|39359000.0|220668000.0|1613622000.0|0.0|2134287000.0|771270000.0|1363017000.0|1436932000.0|1436932000.0|180726000.0|211043000.0|211043000.0|1654149000.0|-80514000.0|1.27269425|0.49850636|10.11304331|1.01995262|833264000.0|833264000.0|342634000.0|2.06625342|1358011000.0|731708000.0|4.41256313|-386787000.0
2015-12-31|2068010000.0|2068010000.0|803274000.0|1264736000.0|0.0|312690000.0|838752000.0|838752000.0|121316000.0|717436000.0|209859000.0|507577000.0|0.0|507577000.0|507577000.0|0.0|3.07|3.07|3.01|165090380.0|168451343.0|0.0|623687000.0|215484000.0|-3006317000.0|-166138000.0|2481013000.0|1710024000.0|739223000.0|0.0|606000.0|98989000.0|5593652000.0|604569000.0|4989083000.0|138348000.0|138348000.0|250947000.0|3998109000.0|0.0|4221641000.0|1479257000.0|2742384000.0|3145715000.0|3145715000.0|222112000.0|1372011000.0|1372011000.0|2161726000.0|-242052000.0|8.31066595|0.40869774|3.07697314|1.02035832|1054236000.0|1054236000.0|457549000.0|2.77150613|3123653000.0|1595543000.0|9.66466368|-874688000.0
