Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2010-01-29|11796380000.0|11796380000.0|8106509000.0|3689871000.0|0.0|2736613000.0|897860000.0|897860000.0|345744000.0|552116000.0|212674000.0|339442000.0|0.0|339442000.0|339442000.0|0.0|1.05|1.05|1.04|322778000.0|324836000.0|0.0|672823000.0|256771000.0|-248046000.0|-248046000.0|-580696000.0|-784180000.0|437825000.0|-239731000.0|0.0|-155919000.0|8863519000.0|1845449000.0|7018070000.0|222076000.0|222076000.0|0.0|5622872000.0|1519578000.0|5473221000.0|1206500000.0|4266721000.0|3403386000.0|3403386000.0|830953000.0|3390298000.0|3390298000.0|203075000.0|-34167000.0|10.50349776|1.52958889|1.61437756|1.0063759|1154631000.0|1154631000.0|424777000.0|1.31600357|5215457000.0|3240647000.0|10.03986331|638949000.0
2011-01-28|13035000000.0|13035000000.0|8858444000.0|4176556000.0|0.0|2902491000.0|1258964000.0|1258964000.0|273992000.0|984972000.0|357115000.0|627857000.0|0.0|627857000.0|627857000.0|0.0|1.84|1.84|1.82|341047000.0|344800000.0|0.0|824684000.0|254927000.0|-418947000.0|-418947000.0|-130367000.0|-131180000.0|-13092000.0|0.0|0.0|275370000.0|9546222000.0|2367825000.0|7178397000.0|497446000.0|497446000.0|0.0|5595511000.0|1765433000.0|5491743000.0|1365373000.0|4126370000.0|3288227000.0|3288227000.0|953641000.0|4054479000.0|4054479000.0|830932000.0|-20296000.0|11.88832917|1.73419644|1.35448796|1.01100435|1513891000.0|1513891000.0|405737000.0|1.1896806|5376119000.0|3950711000.0|11.58406613|1002452000.0
2012-02-03|14807188000.0|14807188000.0|10109278000.0|4697910000.0|0.0|3207106000.0|1430189000.0|1430189000.0|204900000.0|1225289000.0|458604000.0|766685000.0|0.0|766685000.0|766685000.0|0.0|2.25|2.25|2.22|341234000.0|345117000.0|0.0|1050480000.0|275408000.0|-513835000.0|-513835000.0|-907965000.0|-727251000.0|-213816000.0|0.0|0.0|-371320000.0|9688520000.0|2275074000.0|7413446000.0|126126000.0|126126000.0|0.0|5574543000.0|2009206000.0|5013938000.0|1509902000.0|3504036000.0|2618481000.0|2618481000.0|1064087000.0|4674582000.0|4674582000.0|1416918000.0|-5191000.0|13.69905109|1.50676931|1.07259601|1.01137929|1705597000.0|1705597000.0|536645000.0|1.57265982|5096430000.0|4113977000.0|12.05617553|765172000.0
2013-02-01|16022128000.0|16022128000.0|10936727000.0|5085401000.0|0.0|3430125000.0|1625320000.0|1625320000.0|127926000.0|1497394000.0|544732000.0|952662000.0|0.0|952662000.0|952662000.0|0.0|2.87|2.87|2.85|332254000.0|334469000.0|0.0|1131352000.0|302911000.0|-569836000.0|-569836000.0|-546833000.0|108267000.0|-742852000.0|0.0|0.0|14683000.0|10367682000.0|2677113000.0|7690569000.0|140809000.0|140809000.0|0.0|5558132000.0|2397175000.0|5382352000.0|1738547000.0|3643805000.0|2772228000.0|2772228000.0|1261607000.0|4985330000.0|4985330000.0|1710732000.0|-2938000.0|15.00457481|1.53985656|1.07963806|1.00666659|1928231000.0|1928231000.0|561516000.0|1.69002029|5702422000.0|4809550000.0|14.47552174|938566000.0
2014-01-31|17504167000.0|17504167000.0|12068425000.0|5435742000.0|0.0|3699557000.0|1717314000.0|1717314000.0|88984000.0|1628330000.0|603214000.0|1025116000.0|0.0|1025116000.0|1025116000.0|0.0|3.17|3.17|3.17|322886000.0|323854000.0|0.0|1213065000.0|332837000.0|-249978000.0|-249978000.0|-598330000.0|30290000.0|-646393000.0|0.0|0.0|364757000.0|10867524000.0|3205607000.0|7661917000.0|505566000.0|505566000.0|0.0|5546234000.0|2552993000.0|5465331000.0|1811971000.0|3653360000.0|2818754000.0|2818754000.0|1286484000.0|5402193000.0|5402193000.0|2125453000.0|-9910000.0|16.73096077|1.7691271|1.01168748|1.00299796|2050151000.0|2050151000.0|963087000.0|2.98274623|5822507000.0|5321290000.0|16.48039865|1393636000.0
2015-01-30|18909588000.0|18909588000.0|13107081000.0|5802507000.0|0.0|4033414000.0|1769093000.0|1769093000.0|88232000.0|1680861000.0|615516000.0|1065345000.0|0.0|1065345000.0|1065345000.0|0.0|3.5|3.5|3.49|304633000.0|305681000.0|0.0|1314744000.0|342353000.0|-371699000.0|-371699000.0|-868788000.0|-78467000.0|-802468000.0|0.0|0.0|74257000.0|11208642000.0|3532609000.0|7676033000.0|579823000.0|579823000.0|0.0|5540459000.0|2782521000.0|5498604000.0|1962472000.0|3536132000.0|2725123000.0|2725123000.0|1388154000.0|5710038000.0|5710038000.0|2403045000.0|-7327000.0|18.74399031|1.80008122|0.96297152|1.00344021|2111446000.0|2111446000.0|943045000.0|3.09567578|5851011000.0|5668183000.0|18.60659548|1570137000.0
2016-01-29|20368562000.0|20368562000.0|14062471000.0|6306091000.0|0.0|4365797000.0|1939968000.0|1939968000.0|86944000.0|1853024000.0|687944000.0|1165080000.0|0.0|1165080000.0|1165080000.0|0.0|3.96|3.96|3.95|294330000.0|295211000.0|0.66|1377988000.0|352431000.0|-503383000.0|-503383000.0|-1296481000.0|240828000.0|-1292679000.0|-258328000.0|0.0|-421876000.0|11257885000.0|3432410000.0|7825475000.0|157947000.0|157947000.0|0.0|5539583000.0|3074153000.0|5880009000.0|1995596000.0|3884413000.0|2970554000.0|2970554000.0|1494225000.0|5377876000.0|5377876000.0|2025545000.0|-5807000.0|18.27158631|1.71999242|1.09337013|1.00299324|2292399000.0|2292399000.0|874605000.0|2.97151157|6535313000.0|5718302000.0|19.42819964|1436814000.0
