Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|355278000.0|355278000.0|150686000.0|204592000.0|0.0|132713000.0|73408000.0|73408000.0|765000.0|72643000.0|22879000.0|49764000.0|0.0|49764000.0|49764000.0|-11468000.0|1.68|1.68|1.65|29830735.0||0.0|85213000.0|11112000.0|-17633000.0|-15376000.0|-71322000.0|-76199000.0|2118000.0|0.0|1513000.0|-2229000.0|256285000.0|136586000.0|119699000.0|26777000.0|26777000.0|64980000.0|69731000.0|34437000.0|43846000.0|35291000.0|8555000.0|9376000.0|9376000.0|1801000.0|212439000.0|212439000.0|198083000.0|-6491000.0|7.12148058|3.87027854|0.20639336||84520000.0|84520000.0|69837000.0|2.34110893|133862000.0|186554000.0|6.25375137|101295000.0
2010-12-31|421454000.0|421454000.0|175299000.0|246155000.0|0.0|155549000.0|86679000.0|86679000.0|391000.0|86288000.0|28630000.0|57658000.0|0.0|57658000.0|57658000.0|-6356000.0|1.9|1.9|1.86|30304391.0||0.0|73645000.0|10513000.0|-47696000.0|-18385000.0|13649000.0|-9810000.0|17305000.0|0.0|865000.0|40463000.0|342446000.0|204998000.0|137448000.0|67240000.0|67240000.0|10446000.0|68595000.0|47406000.0|44442000.0|34622000.0|9820000.0|1851000.0|1851000.0|27730000.0|298004000.0|298004000.0|255741000.0|-3049000.0|9.83369044|5.92103287|0.14913223||97192000.0|97192000.0|55260000.0|1.82349812|173840000.0|273851000.0|9.03667723|170376000.0
2011-12-31|513997000.0|513997000.0|224742000.0|289255000.0|0.0|171366000.0|114867000.0|114867000.0|135000.0|114732000.0|36950000.0|77782000.0|0.0|77782000.0|77782000.0|-7645000.0|2.53|2.53|2.47|30076433.0||0.0|80375000.0|11026000.0|-22104000.0|-28974000.0|-52593000.0|-1851000.0|-52830000.0|0.0|-2622000.0|3056000.0|357096000.0|210478000.0|146618000.0|70296000.0|70296000.0|10842000.0|69695000.0|44412000.0|41724000.0|35405000.0|6319000.0|0.0|0.0|25629000.0|315372000.0|315372000.0|333523000.0|-13463000.0|10.48568492|5.94486654|0.1323009||125893000.0|125893000.0|51401000.0|1.7090125|181700000.0|287401000.0|9.55568767|175073000.0
2012-12-31|592091000.0|592091000.0|256553000.0|335538000.0|0.0|199090000.0|123222000.0|123222000.0|1488000.0|121734000.0|41375000.0|80359000.0|0.0|80359000.0|80359000.0|503000.0|2.78|2.78|2.7|28640806.0||0.0|88792000.0|12975000.0|-159904000.0|-21841000.0|49525000.0|100663000.0|-56979000.0|0.0|1576000.0|-20011000.0|507692000.0|241430000.0|266262000.0|50285000.0|50285000.0|15158000.0|166386000.0|65345000.0|155276000.0|31150000.0|124126000.0|114063000.0|114063000.0|27938000.0|352416000.0|352416000.0|413882000.0|-6940000.0|12.30468165|7.7505618|0.44060429||136197000.0|136197000.0|66951000.0|2.33760879|373934000.0|341306000.0|11.91677357|210280000.0
2013-12-31|660848000.0|660848000.0|291274000.0|369574000.0|0.0|230851000.0|123051000.0|123051000.0|3492000.0|119559000.0|35713000.0|83846000.0|0.0|83846000.0|83846000.0|633000.0|2.89|2.89|2.84|28904475.0||0.0|106718000.0|15361000.0|-140726000.0|-26672000.0|54644000.0|76289000.0|-29450000.0|0.0|-278000.0|20358000.0|658973000.0|290222000.0|368751000.0|70643000.0|70643000.0|16689000.0|251241000.0|77793000.0|244614000.0|48761000.0|195853000.0|190352000.0|190352000.0|38023000.0|414359000.0|414359000.0|497728000.0|-7751000.0|14.3354619|5.9519288|0.59034316||138412000.0|138412000.0|80046000.0|2.76932897|478680000.0|407732000.0|14.10618944|241461000.0
2014-12-31|712877000.0|712877000.0|312004000.0|400873000.0|0.0|253572000.0|130235000.0|130235000.0|13527000.0|116708000.0|31542000.0|85166000.0|0.0|85166000.0|85166000.0|272000.0|2.97|2.97|2.93|28306979.0||0.0|97679000.0|17476000.0|-85366000.0|-23954000.0|-9098000.0|25438000.0|-38677000.0|0.0|-5866000.0|-2651000.0|716623000.0|300753000.0|415870000.0|67992000.0|67992000.0|16926000.0|276882000.0|91088000.0|282182000.0|42559000.0|239623000.0|222400000.0|222400000.0|42559000.0|434441000.0|434441000.0|582894000.0|-40278000.0|15.34748728|7.06673089|0.64952893||147711000.0|147711000.0|73725000.0|2.60448139|551590000.0|439741000.0|15.53472025|258194000.0
2015-12-31|704602000.0|704602000.0|313418000.0|391184000.0|0.0|262330000.0|104568000.0|104568000.0|16887000.0|87681000.0|26971000.0|60710000.0|0.0|60710000.0|60710000.0|0.0|2.16|2.16|2.14|27806440.0||0.0|92749000.0|17939000.0|-71676000.0|-21073000.0|9127000.0|35193000.0|-30079000.0|0.0|-11238000.0|18962000.0|752895000.0|325434000.0|427461000.0|86954000.0|86954000.0|16406000.0|301790000.0|93458000.0|321513000.0|46175000.0|275338000.0|253874000.0|253874000.0|27826000.0|431382000.0|431382000.0|643604000.0|-78410000.0|15.5137443|7.04783974|0.74530926||122507000.0|122507000.0|71676000.0|2.57767625|571850000.0|451105000.0|16.22304042|279259000.0
