Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|2258100000.0|2258100000.0|1767800000.0|490300000.0|16400000.0|274300000.0|201200000.0|201200000.0|9000000.0|192200000.0|47600000.0|144600000.0|0.0|144600000.0|144600000.0|10700000.0|2.36|2.36|2.34|61267083.0||0.63|417200000.0|67500000.0|-89500000.0|-39000000.0|-274200000.0|-235400000.0|-300000.0|-38600000.0|100000.0|53600000.0|1914100000.0|799800000.0|1114300000.0|96300000.0|96300000.0|287100000.0|625100000.0|338300000.0|695500000.0|301100000.0|394400000.0|156100000.0|156100000.0|132700000.0|1218600000.0|1218600000.0|1324300000.0|-34700000.0|19.88996277|2.65626038|0.57073691||268700000.0|268700000.0|378200000.0|6.1729722|1047700000.0|1289000000.0|21.03903004|498700000.0
2010-12-31|2527700000.0|2527700000.0|1999000000.0|528700000.0|23200000.0|310500000.0|211100000.0|211100000.0|8300000.0|202800000.0|57200000.0|145600000.0|0.0|145600000.0|145600000.0|-15000000.0|2.36|2.36|2.34|60985910.0||0.66|107400000.0|71900000.0|-339300000.0|-55500000.0|223800000.0|257000000.0|7400000.0|-40600000.0|1200000.0|-6900000.0|2529500000.0|1016900000.0|1512600000.0|89400000.0|89400000.0|391000000.0|965000000.0|430500000.0|1188800000.0|456400000.0|732400000.0|474100000.0|474100000.0|195400000.0|1340700000.0|1340700000.0|1429300000.0|-38100000.0|21.98376641|2.2280894|0.88670098||283000000.0|283000000.0|51900000.0|0.85101624|1492800000.0|1564500000.0|25.65346651|560500000.0
2011-12-31|2492400000.0|2492400000.0|1908300000.0|584100000.0|21700000.0|298800000.0|274300000.0|274300000.0|21000000.0|253300000.0|73000000.0|180300000.0|0.0|180300000.0|180300000.0|-8300000.0|2.91|2.91|2.86|61609678.0||0.7|191200000.0|88000000.0|-463500000.0|-76100000.0|256400000.0|286100000.0|13800000.0|-43500000.0|1200000.0|-14700000.0|3137900000.0|1214100000.0|1923800000.0|74700000.0|74700000.0|486400000.0|1324400000.0|539000000.0|1637800000.0|596900000.0|1040900000.0|762400000.0|762400000.0|260800000.0|1500100000.0|1500100000.0|1566100000.0|-45000000.0|24.34844733|2.03400905|1.09179388||362300000.0|362300000.0|115100000.0|1.86821298|1904300000.0|1813500000.0|29.43531047|617200000.0
2012-12-31|2851200000.0|2851200000.0|2084200000.0|767000000.0|26100000.0|356600000.0|413400000.0|413400000.0|25500000.0|387900000.0|117700000.0|270200000.0|0.0|270200000.0|270200000.0|-41500000.0|4.3|4.3|4.22|62910568.0||0.76|485900000.0|104900000.0|-428500000.0|-140400000.0|-20600000.0|-11400000.0|38800000.0|-48000000.0|1000000.0|37800000.0|3457300000.0|1205300000.0|2252000000.0|112500000.0|112500000.0|408400000.0|1473600000.0|325000000.0|1669200000.0|470600000.0|1198600000.0|752300000.0|752300000.0|205900000.0|1788100000.0|1788100000.0|1788300000.0|-35500000.0|28.42288755|2.56119847|0.93350484||518300000.0|518300000.0|345500000.0|5.49192307|2152900000.0|1983700000.0|31.5320631|734700000.0
2013-12-31|2943000000.0|2943000000.0|2197400000.0|745600000.0|29300000.0|353700000.0|341300000.0|341300000.0|33800000.0|307500000.0|97800000.0|209700000.0|0.0|209700000.0|209700000.0|25500000.0|3.29|3.29|3.22|63602956.0||0.84|414700000.0|113900000.0|270100000.0|-98900000.0|-41500000.0|-2100000.0|19500000.0|-53700000.0|-1300000.0|642000000.0|3493000000.0|1535000000.0|1958000000.0|754500000.0|754500000.0|399600000.0|1438500000.0|298800000.0|1506900000.0|376400000.0|1130500000.0|751000000.0|751000000.0|187000000.0|1986100000.0|1986100000.0|1944300000.0|-31500000.0|31.22653607|4.0781084|0.75872313||455200000.0|455200000.0|315800000.0|4.96517803|1674600000.0|2054500000.0|32.30195779|1158600000.0
2014-12-31|3204000000.0|3204000000.0|2384500000.0|819500000.0|33800000.0|379000000.0|407900000.0|407900000.0|32200000.0|375700000.0|124400000.0|251300000.0|0.0|251300000.0|251300000.0|400000.0|3.89|3.89|3.82|64166418.0||0.94|295900000.0|104000000.0|-297800000.0|-113500000.0|-20200000.0|-1500000.0|42500000.0|-61200000.0|-1600000.0|-23700000.0|3758700000.0|1611500000.0|2147200000.0|730800000.0|730800000.0|439200000.0|1576200000.0|339100000.0|1553700000.0|392200000.0|1161500000.0|749800000.0|749800000.0|198000000.0|2205000000.0|2205000000.0|2134400000.0|-61800000.0|34.36376953|4.10887302|0.70462585||511900000.0|511900000.0|182400000.0|2.84260842|1809300000.0|2182500000.0|34.01311882|1219300000.0
2015-12-31|3543200000.0|3543200000.0|2536500000.0|1006700000.0|42800000.0|461900000.0|502000000.0|502000000.0|34000000.0|468000000.0|148300000.0|319700000.0|0.0|319700000.0|319700000.0|-100000.0|4.89|4.89|4.82|65005401.0||1.1|529200000.0|129300000.0|-670800000.0|-71900000.0|-173000000.0|-2900000.0|-97800000.0|-72300000.0|-5500000.0|-320100000.0|3950900000.0|1319500000.0|2631400000.0|410700000.0|410700000.0|502500000.0|2022200000.0|356000000.0|1603500000.0|605800000.0|997700000.0|745400000.0|745400000.0|212600000.0|2347400000.0|2347400000.0|2381800000.0|-87100000.0|36.11084562|2.17811159|0.68309619||631300000.0|631300000.0|457300000.0|7.03480008|1657600000.0|1928700000.0|29.66984236|713700000.0
