Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|1073958000.0|1073958000.0|551002000.0|522956000.0|0.0|355590000.0|127255000.0|127255000.0|964000.0|126291000.0|42307000.0|83984000.0|0.0|83984000.0|83984000.0|0.0|0.37|0.37|0.37|223768500.0|224436000.0|0.12|110846000.0|37169000.0|-26562000.0|-15740000.0|-89753000.0|-33471000.0|-28615000.0|-27853000.0|1257000.0|-4212000.0|566496000.0|120530000.0|445966000.0|9504000.0|9504000.0|72110000.0|335619000.0|10208000.0|301930000.0|232753000.0|69177000.0|30000000.0|30000000.0|15841000.0|264566000.0|264566000.0|125681000.0|-32127000.0|1.18232012|0.5178451|1.14122752|1.00298299|164424000.0|164424000.0|95106000.0|0.42501961|18620000.0|230877000.0|1.03176721|-112223000.0
2010-12-31|1136890000.0|1136890000.0|583089000.0|553801000.0|0.0|373288000.0|143982000.0|143982000.0|437000.0|143545000.0|53543000.0|90002000.0|0.0|90002000.0|90002000.0|0.0|0.41|0.41|0.41|222045000.0|222346500.0|0.16|124053000.0|36408000.0|-47645000.0|-13036000.0|-65497000.0|-1724000.0|-29437000.0|-35521000.0|498000.0|11409000.0|619014000.0|151021000.0|467993000.0|20913000.0|20913000.0|80626000.0|358335000.0|11899000.0|321044000.0|246441000.0|74603000.0|26000000.0|26000000.0|25940000.0|297970000.0|297970000.0|155463000.0|-32490000.0|1.34193519|0.61280793|1.07743733|1.00135783|180390000.0|180390000.0|111017000.0|0.49997523|19325000.0|260679000.0|1.17399176|-95420000.0
2011-12-31|1205064000.0|1205064000.0|616842000.0|588222000.0|0.0|388710000.0|161604000.0|161604000.0|508000.0|161096000.0|60385000.0|100711000.0|0.0|100711000.0|100711000.0|0.0|0.46|0.46|0.46|220323000.0|220419000.0|0.19|154647000.0|37503000.0|-29154000.0|-18652000.0|-99427000.0|-30538000.0|-30146000.0|-41110000.0|-704000.0|25362000.0|645650000.0|175822000.0|469828000.0|46275000.0|46275000.0|84644000.0|348545000.0|11125000.0|321653000.0|225851000.0|95802000.0|0.0|0.0|22584000.0|323997000.0|323997000.0|189282000.0|-48090000.0|1.47055459|0.7784867|0.99276537|1.00043572|199107000.0|199107000.0|135995000.0|0.61725285|24979000.0|297105000.0|1.34849743|-50029000.0
2012-12-31|1270909000.0|1270909000.0|647578000.0|623331000.0|0.0|407488000.0|176656000.0|176656000.0|14000.0|176642000.0|65310000.0|111332000.0|0.0|111332000.0|111332000.0|0.0|0.51|0.51|0.51|219448500.0|219459000.0|0.24|141919000.0|38074000.0|-42693000.0|-19040000.0|-80989000.0|0.0|-19938000.0|-64282000.0|570000.0|18807000.0|692506000.0|205992000.0|486514000.0|65082000.0|65082000.0|92424000.0|354266000.0|11847000.0|337550000.0|228416000.0|109134000.0|0.0|0.0|24854000.0|354956000.0|354956000.0|220752000.0|-56967000.0|1.61749112|0.90182824|0.95096294|1.00004785|214730000.0|214730000.0|122879000.0|0.55994459|44742000.0|338240000.0|1.54131835|-22424000.0
2013-12-31|1337374000.0|1337374000.0|678459000.0|658915000.0|0.0|428288000.0|191606000.0|191606000.0|0.0|191606000.0|68276000.0|123330000.0|0.0|123330000.0|123330000.0|0.0|0.56|0.56|0.56|219121000.0|219121000.0|0.24|162665000.0|39304000.0|-30790000.0|-18632000.0|-75653000.0|0.0|-13717000.0|-65658000.0|-3088000.0|53134000.0|739217000.0|274442000.0|464775000.0|118216000.0|118216000.0|96677000.0|340416000.0|12251000.0|300962000.0|235792000.0|65170000.0|0.0|0.0|23194000.0|438255000.0|438255000.0|270397000.0|-31771000.0|2.00005933|1.16391565|0.68672805|1.0|230910000.0|230910000.0|144033000.0|0.65732175|44793000.0|398801000.0|1.82000356|38650000.0
2014-12-31|1411566000.0|1411566000.0|707739000.0|703827000.0|0.0|441706000.0|219484000.0|219484000.0|0.0|219484000.0|81820000.0|137664000.0|0.0|137664000.0|137664000.0|0.0|0.63|0.63|0.63|218695000.0|218695000.0|0.29|194146000.0|42277000.0|-89471000.0|-28739000.0|-106519000.0|0.0|-35513000.0|-75750000.0|-8000000.0|-9844000.0|808162000.0|283958000.0|524204000.0|108372000.0|108372000.0|101875000.0|389035000.0|14078000.0|345486000.0|252679000.0|92807000.0|0.0|0.0|22878000.0|462676000.0|462676000.0|247042000.0|-65488000.0|2.11562221|1.12378947|0.7467126|1.0|261761000.0|261761000.0|165407000.0|0.75633645|58076000.0|419127000.0|1.916491|31279000.0
2015-12-31|1485305000.0|1485305000.0|735976000.0|749329000.0|0.0|463742000.0|243178000.0|243178000.0|0.0|243178000.0|91029000.0|152149000.0|0.0|152149000.0|152149000.0|0.0|0.7|0.7|0.7|218583000.0|218583000.0|0.42|196356000.0|42139000.0|-69942000.0|-39495000.0|-97216000.0|0.0|-7407000.0|-91755000.0|-2996000.0|26202000.0|848651000.0|269434000.0|579217000.0|134574000.0|134574000.0|107330000.0|388870000.0|12801000.0|324622000.0|252986000.0|71636000.0|0.0|0.0|24919000.0|524029000.0|524029000.0|306892000.0|-71178000.0|2.39739138|1.06501546|0.61947335|1.0|285317000.0|285317000.0|156861000.0|0.71762671|72221000.0|459781000.0|2.10346184|16448000.0
