Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|166350000.0|166350000.0|0.0|166350000.0|0.0|67957000.0|72350000.0|72350000.0|0.0|72350000.0|18553000.0|53797000.0|0.0|53797000.0|53797000.0|0.0|0.86|0.86|0.86|62448270.0||0.45|171515000.0|7746000.0|-58187000.0|-2026000.0|-15120000.0|-89504000.0|682000.0|-28302000.0|0.0|98208000.0|3279456000.0|||321541000.0|321541000.0|0.0|63152000.0|0.0|2863754000.0|||146094000.0|146094000.0|7081000.0|415702000.0|415702000.0|115123000.0|31077000.0|6.65674165||6.88895892||80096000.0|80096000.0|169489000.0|2.71407038|3040857000.0|3216304000.0|51.50349241|
2010-12-31|176687000.0|176687000.0|0.0|176687000.0|0.0|71115000.0|79727000.0|79727000.0|0.0|79727000.0|20068000.0|59659000.0|0.0|59659000.0|59659000.0|0.0|0.95|0.95|0.95|62556456.0||0.45|71828000.0|7102000.0|-355808000.0|-1316000.0|283329000.0|32262000.0|789000.0|-28346000.0|0.0|-651000.0|3776367000.0|||367953000.0|367953000.0|0.0|72524000.0|0.0|3334679000.0|||178356000.0|178356000.0|7120000.0|441688000.0|441688000.0|146397000.0|20453000.0|7.06063016||7.54985193||86829000.0|86829000.0|70512000.0|1.12717383|3514246000.0|3703843000.0|59.20800565|
2011-12-31|196809000.0|196809000.0|0.0|196809000.0|0.0|75981000.0|92185000.0|92185000.0|0.0|92185000.0|23816000.0|68369000.0|0.0|68369000.0|68369000.0|0.0|1.08|1.08|1.08|62904576.0||0.47|95111000.0|7352000.0|-331030000.0|-9045000.0|222488000.0|29400000.0|950000.0|-29359000.0|0.0|-13431000.0|4120531000.0|||312011000.0|312011000.0|0.0|72122000.0|0.0|3611994000.0|||207756000.0|207756000.0|7550000.0|508537000.0|508537000.0|184871000.0|47225000.0|8.08426083||7.10271622||99537000.0|99537000.0|86066000.0|1.36819935|3944154000.0|4048409000.0|64.35794115|
2012-12-31|208409000.0|208409000.0|0.0|208409000.0|0.0|79149000.0|99360000.0|99360000.0|0.0|99360000.0|25135000.0|74225000.0|0.0|74225000.0|74225000.0|0.0|1.18|1.18|1.18|62977060.0||0.49|93062000.0|7920000.0|-294991000.0|-7810000.0|311832000.0|51941000.0|824000.0|-38719000.0|0.0|109903000.0|4502012000.0|||409744000.0|409744000.0|0.0|71973000.0|0.0|3945049000.0|||259697000.0|259697000.0|0.0|556963000.0|556963000.0|227927000.0|51309000.0|8.84390284||7.08314376||107280000.0|107280000.0|85252000.0|1.35369927|4279992000.0|4430039000.0|70.3436934|
2013-12-31|230580000.0|230580000.0|0.0|230580000.0|0.0|90506000.0|104568000.0|104568000.0|0.0|104568000.0|25700000.0|78868000.0|0.0|78868000.0|78868000.0|0.0|1.24|1.24|1.24|63955340.0||0.52|109858000.0|8638000.0|-556770000.0|-6603000.0|298185000.0|204191000.0|1958000.0|-24505000.0|0.0|-148727000.0|5222208000.0|||243929000.0|243929000.0|0.0|97485000.0|0.0|4634561000.0|||463888000.0|463888000.0|8318000.0|587647000.0|587647000.0|273972000.0|10364000.0|9.18839615||7.88664113||113206000.0|113206000.0|103255000.0|1.61448598|5344682000.0|5124723000.0|80.12971239|
2014-12-31|256517000.0|256517000.0|0.0|256517000.0|0.0|97228000.0|118592000.0|118592000.0|0.0|118592000.0|29033000.0|89559000.0|0.0|89559000.0|89559000.0|0.0|1.4|1.4|1.39|64065828.0||0.55|131402000.0|9262000.0|-575205000.0|-12756000.0|485262000.0|-96778000.0|1437000.0|-34578000.0|0.0|41459000.0|5848202000.0|||270473000.0|270473000.0|0.0|97359000.0|0.0|5166665000.0|||367110000.0|367110000.0|8972000.0|681537000.0|681537000.0|327978000.0|47489000.0|10.6380737||7.5809017||127854000.0|127854000.0|118646000.0|1.85193892|5847480000.0|5750843000.0|89.76459338|
2015-12-31|281282000.0|281282000.0|0.0|281282000.0|0.0|110644000.0|131818000.0|131818000.0|0.0|131818000.0|31437000.0|100381000.0|0.0|100381000.0|100381000.0|0.0|1.55|1.55|1.54|65974908.0||0.62|109092000.0|11145000.0|-384225000.0|-15028000.0|294548000.0|235440000.0|1545000.0|-38767000.0|0.0|19415000.0|6665070000.0|||276381000.0|276381000.0|0.0|144449000.0|0.0|5860084000.0|||615675000.0|615675000.0|10558000.0|804986000.0|804986000.0|388006000.0|47395000.0|12.20139632||7.27973406||142963000.0|142963000.0|94064000.0|1.42575417|6859915000.0|6520621000.0|98.8348631|
