Date|REVENUE|REVENUEUSD|COR|GP|RND|SGNA|EBIT|EBITUSD|INTEXP|EBT|TAXEXP|NETINC|PREFDIVIS|NETINCCMN|NETINCCMNUSD|NETINCDIS|EPS|EPSUSD|EPSDIL|SHARESWA|SHARESWADIL|DPS|NCFO|DEPAMOR|NCFI|CAPEX|NCFF|NCFDEBT|NCFCOMMON|NCFDIV|NCFX|NCF|ASSETS|ASSETSC|ASSETSNC|CASHNEQ|CASHNEQUSD|RECEIVABLES|INTANGIBLES|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|DEBT|DEBTUSD|PAYABLES|EQUITY|EQUITYUSD|RETEARN|ACCOCI|BVPS|CURRENTRATIO|DE|DILUTIONRATIO|EBITDA|EBITDAUSD|FCF|FCFPS|INVCAP|TANGIBLES|TBVPS|WORKINGCAPITAL
2009-12-31|4165820000.0|4165820000.0|2447885000.0|1717935000.0|0.0|1383579000.0|249480000.0|249480000.0|189146000.0|60334000.0|26993000.0|33341000.0|0.0|33341000.0|33341000.0|0.0|0.12|0.12|0.12|277361783.0|279995081.0|0.0|213645000.0|99473000.0|-119362000.0|-28200000.0|476768000.0|14326000.0|455616000.0|0.0|11683000.0|582734000.0|5039406000.0|2266725000.0|2772681000.0|788354000.0|788354000.0|1090962000.0|1629276000.0|0.0|4255111000.0|1629041000.0|2626070000.0|3010677000.0|3010677000.0|458510000.0|629122000.0|629122000.0|-15008000.0|-115077000.0|2.26823607|1.39144748|6.7635705|1.00949409|348953000.0|348953000.0|185445000.0|0.66860329|4003412000.0|3410130000.0|12.29488058|637684000.0
2010-12-31|5115316000.0|5115316000.0|2960170000.0|2155146000.0|0.0|1607682000.0|521864000.0|521864000.0|191151000.0|330713000.0|130368000.0|200345000.0|0.0|200345000.0|200345000.0|-14320000.0|0.64|0.64|0.63|313873439.0|319016887.0|0.0|616587000.0|108962000.0|-62503000.0|-68464000.0|-784222000.0|-809431000.0|2401000.0|0.0|-4845000.0|-234983000.0|5121568000.0|2260870000.0|2860698000.0|558831000.0|558831000.0|1425600000.0|1656656000.0|0.0|4055773000.0|1956768000.0|2099005000.0|2515567000.0|2515567000.0|445337000.0|908215000.0|908215000.0|185337000.0|-94602000.0|2.89357074|1.15541035|4.46565296|1.01638701|630826000.0|630826000.0|548123000.0|1.74631852|3464880000.0|3464912000.0|11.03920106|304102000.0
2011-12-31|5905411000.0|5905411000.0|3457130000.0|2448281000.0|0.0|1882666000.0|578514000.0|578514000.0|150249000.0|428265000.0|189103000.0|239162000.0|0.0|239162000.0|239162000.0|-49890000.0|0.75|0.75|0.74|318454191.0|323723755.0|0.0|361219000.0|116930000.0|-480255000.0|-147980000.0|711325000.0|808837000.0|7136000.0|0.0|-5681000.0|586608000.0|7219143000.0|3550047000.0|3669096000.0|1160320000.0|1160320000.0|1855432000.0|2622732000.0|0.0|5801980000.0|2680648000.0|3121332000.0|3682158000.0|3682158000.0|574136000.0|1151481000.0|1151481000.0|424499000.0|-158439000.0|3.61584502|1.32432419|5.03871102|1.01654732|695444000.0|695444000.0|213239000.0|0.66960651|4437601000.0|4596411000.0|14.43350764|869399000.0
2012-12-31|6514099000.0|6514099000.0|3742514000.0|2771585000.0|0.0|2002914000.0|675945000.0|675945000.0|175068000.0|500877000.0|185322000.0|315555000.0|0.0|315555000.0|315555000.0|-631000.0|0.98|0.98|0.97|322315576.0|327044145.0|0.0|291081000.0|170905000.0|-197671000.0|-150232000.0|-100689000.0|-90918000.0|20324000.0|0.0|33947000.0|-3885000.0|7809542000.0|4084550000.0|3724992000.0|1162973000.0|1162973000.0|2311163000.0|2676395000.0|0.0|6127730000.0|2972293000.0|3155437000.0|3805539000.0|3805539000.0|582294000.0|1539211000.0|1539211000.0|740054000.0|-165044000.0|4.77547818|1.3742084|3.98108511|1.01467062|846850000.0|846850000.0|140849000.0|0.43699098|4803420000.0|5133147000.0|15.92584219|1112257000.0
2013-12-31|7184794000.0|7184794000.0|4189389000.0|2995405000.0|0.0|2104310000.0|638807000.0|638807000.0|135082000.0|503725000.0|187187000.0|316538000.0|0.0|316538000.0|316538000.0|-26997000.0|0.96|0.96|0.95|328110004.0|331762854.0|0.0|745108000.0|191270000.0|-464994000.0|-156358000.0|-866281000.0|-733711000.0|-10848000.0|0.0|-11218000.0|-597385000.0|6998414000.0|2879812000.0|4118602000.0|553067000.0|553067000.0|1868034000.0|3131702000.0|0.0|5062408000.0|2605740000.0|2456668000.0|2488249000.0|2488249000.0|817519000.0|1895785000.0|1895785000.0|1056592000.0|-146123000.0|5.77789454|1.1051801|2.67034922|1.011133|830077000.0|830077000.0|588750000.0|1.79436772|3196154000.0|3866712000.0|11.78480373|274072000.0
2014-12-31|9049918000.0|9049918000.0|5611262000.0|3438656000.0|0.0|2438960000.0|860297000.0|860297000.0|112035000.0|748262000.0|263759000.0|484503000.0|0.0|484503000.0|484503000.0|0.0|1.47|1.47|1.45|330620206.0|334171509.0|0.0|661780000.0|265101000.0|-151556000.0|-171242000.0|-232069000.0|-189061000.0|-10482000.0|0.0|-29183000.0|248972000.0|7568010000.0|3371769000.0|4196241000.0|768974000.0|768974000.0|2242523000.0|3136181000.0|0.0|5266612000.0|2928765000.0|2337847000.0|2357062000.0|2357062000.0|827530000.0|2259830000.0|2259830000.0|1541095000.0|-324020000.0|6.83512368|1.15125966|2.3305346|1.01074134|1125398000.0|1125398000.0|490538000.0|1.48369032|3091152000.0|4431829000.0|13.4045921|443004000.0
2015-12-31|10855810000.0|10855810000.0|7082932000.0|3772878000.0|0.0|2633609000.0|986865000.0|986865000.0|118880000.0|867985000.0|320853000.0|547132000.0|0.0|547132000.0|547132000.0|0.0|1.64|1.64|1.63|332616301.0|336414856.0|0.0|651897000.0|314096000.0|-1618959000.0|-139464000.0|789548000.0|820893000.0|-16998000.0|0.0|-22967000.0|-200481000.0|11017943000.0|5305223000.0|5712720000.0|613167000.0|613167000.0|4238847000.0|4536466000.0|0.0|8258873000.0|4994157000.0|3264716000.0|4430336000.0|4430336000.0|1484119000.0|2712652000.0|2712652000.0|2088227000.0|-485675000.0|8.15549927|1.06228599|3.0445752|1.01142023|1300961000.0|1300961000.0|512433000.0|1.54061301|5304489000.0|6481477000.0|19.48634802|311066000.0
